Prefix,Length,Type,MCNC Entity Name,Entity Type
152.26.175.192,29,LAN,Academy of Moore County,K12 - Charter School
152.26.233.160,29,LAN,ACE Academy,K12 - Charter School
152.26.170.160,29,LAN,Achievement Charter Academy,K12 - Charter School
152.27.20.0,23,LAN,Alamance Community College,Community College
152.26.170.128,29,LAN,Alamance Community School,K12 - Charter School
152.26.67.0,25,LAN,Alamance-Burlington School System,K12 - Public
152.26.22.0,26,LAN,Alexander County Schools,K12 - Public
152.26.66.32,29,LAN,Alexander County Schools,K12 - Public
152.26.241.48,28,Video,Alleghany County Schools,K12 - Public
152.26.83.0,28,LAN,Alleghany County Schools,K12 - Public
152.26.173.208,29,LAN,Alpha Academy,K12 - Charter School
152.26.66.0,28,LAN,American Renaissance School,K12 - Charter School
152.26.174.32,29,LAN,Anderson Creek Academy,K12 - Charter School
152.26.7.96,27,LAN,Anson County Schools,K12 - Public
152.26.170.192,29,LAN,Apprentice Academy High School of North Carolina,K12 - Charter School
152.26.235.208,28,LAN,Arapahoe Charter School,K12 - Charter School
152.26.235.144,29,LAN,Aristotle Preparatory Academy Charter,K12 - Charter School
152.26.233.0,28,LAN,Artspace Charter School,K12 - Charter School
152.26.172.0,29,LAN,Ascend Leadership Academy,K12 - Charter School
152.26.66.252,30,LAN,Ashe County Schools,K12 - Public
152.26.66.64,27,LAN,Ashe County Schools,K12 - Public
152.26.28.128,26,LAN,Asheboro City Schools,K12 - Public
152.26.48.0,24,LAN,Asheville City Schools,K12 - Public
152.26.169.64,29,LAN,Asheville Peak Academy,K12 - Charter School
198.86.53.64,26,LAN,Asheville-Buncombe TCC,Community College
152.26.242.128,28,Video,Asheville-Buncombe TCC,Community College
152.27.4.0,22,LAN,Asheville-Buncombe TCC,Community College
152.26.9.0,26,LAN,Avery County Schools,K12 - Public
152.26.237.176,28,LAN,Bear Grass Charter School,K12 - Charter School
152.46.35.224,27,Customer Allocation,Beaufort County Community College,Community College
152.27.67.64,27,Video,Beaufort County Community College,Community College
198.85.196.16,29,LAN,Beaufort County Community College,Community College
198.85.196.32,28,LAN,Beaufort County Community College,Community College
198.85.118.0,24,LAN,Beaufort County Community College,Community College
198.85.119.0,24,LAN,Beaufort County Community College,Community College
152.26.46.0,24,LAN,Beaufort County Schools,K12 - Public
152.26.20.128,26,LAN,Bertie County Schools,K12 - Public
152.26.242.192,28,Video,Bertie County Schools,K12 - Public
152.26.173.192,29,LAN,Bethany Community Middle School,K12 - Charter School
152.26.239.176,28,LAN,Bethel Hill Charter School,K12 - Charter School
152.27.28.0,24,LAN,Bladen Community College,Community College
152.27.67.0,27,Video,Bladen Community College,Community College
152.26.242.144,28,Video,Bladen County Schools,K12 - Public
152.26.42.0,24,LAN,Bladen County Schools,K12 - Public
152.26.241.176,28,Video,Blue Ridge Community College,Community College
152.27.27.0,28,Video,Blue Ridge Community College,Community College
152.27.15.0,24,LAN,Blue Ridge Community College,Community College
152.26.170.224,29,LAN,Bonnie Cone Classical Academy,K12 - Charter School
152.26.233.64,28,LAN,Bradford Preparatory School,K12 - Charter School
152.26.175.0,29,LAN,Brevard Academy,K12 - Charter School
152.27.30.0,24,LAN,Brunswick Community College,Community College
152.27.64.16,29,Video,Brunswick Community College,Community College
152.26.68.0,24,LAN,Brunswick County Schools,K12 - Public
152.26.18.0,24,LAN,Buncombe County Schools,K12 - Public
152.26.36.0,24,LAN,Burke County Public Schools,K12 - Public
152.26.35.128,26,LAN,Cabarrus County Schools,K12 - Public
152.26.82.0,26,LAN,Cabarrus County Schools,K12 - Public
152.27.23.208,29,LAN,Caldwell Community College,Community College
152.26.241.128,28,Video,Caldwell Community College,Community College
152.27.19.0,24,LAN,Caldwell Community College,Community College
152.26.11.0,24,LAN,Caldwell County Schools,K12 - Public
204.85.9.128,26,LAN,Camden County School System,K12 - Public
152.26.240.160,28,Video,Camden County School System,K12 - Public
152.26.232.0,28,LAN,Cape Fear Center for Inquiry,K12 - Charter School
198.85.236.0,22,LAN,Cape Fear Community College,Community College
198.85.240.0,21,LAN,Cape Fear Community College,Community College
152.46.32.96,27,Customer Allocation,Cape Fear Community College,Community College
152.26.232.64,29,LAN,Capitol Encore Academy,K12 - Charter School
152.26.236.48,29,LAN,Carolina Charter Academy,K12 - Charter School
152.26.237.96,27,LAN,Carolina International School,K12 - Charter School
152.26.232.192,29,LAN,Carter Community Charter,K12 - Charter School
152.26.233.112,29,LAN,Carter G. Woodson School,K12 - Charter School
198.86.120.0,22,LAN,Carteret Community College,Community College
198.86.53.224,29,LAN,Carteret County Public School System,K12 - Public
152.26.80.0,25,LAN,Carteret County Public School System,K12 - Public
152.26.237.32,28,LAN,Casa Esperanza Montessori Charter,K12 - Charter School
152.26.87.0,26,LAN,Caswell County Schools,K12 - Public
152.26.52.128,27,LAN,Caswell County Schools,K12 - Public
152.26.30.0,24,LAN,Catawba County Schools,K12 - Public
152.27.33.0,25,LAN,Catawba Valley Community College,Community College
152.27.67.192,27,Video,Catawba Valley Community College,Community College
152.27.23.64,26,LAN,Central Carolina Community College,Community College
152.27.68.16,29,Video,Central Carolina Community College,Community College
152.27.23.128,26,LAN,Central Carolina Community College,Community College
152.27.74.0,24,LAN,Central Carolina Community College,Community College
152.26.238.64,29,LAN,Central Park School for Children,K12 - Charter School
198.62.72.0,24,Non-NCREN,Central Piedmont Community College,Community College
152.46.25.128,27,Customer Allocation,Central Piedmont Community College,Community College
152.43.0.0,16,Non-NCREN,Central Piedmont Community College,Community College
152.26.174.192,29,LAN,Central Wake Charter High School,K12 - Charter School
152.26.75.0,29,LAN,Chapel Hill-Carrboro City Schools,K12 - Public
198.86.92.0,23,LAN,Chapel Hill-Carrboro City Schools,K12 - Public
198.86.68.0,24,LAN,Chapel Hill-Carrboro City Schools,K12 - Public
152.46.31.16,28,Customer Allocation,Chapel Hill-Carrboro City Schools,K12 - Public
152.26.175.64,29,LAN,Charlotte Lab Charter,K12 - Charter School
152.26.233.48,29,LAN,Charlotte Secondary School,K12 - Charter School
168.190.0.0,16,Non-NCREN,Charlotte-Mecklenburg Schools,K12 - Public
152.26.239.208,28,LAN,Charter Day School,K12 - Charter School
152.26.235.240,29,LAN,Chatham Charter School,K12 - Charter School
152.46.35.0,25,Customer Allocation,Chatham County Schools,K12 - Public
152.26.52.0,25,LAN,Chatham County Schools,K12 - Public
152.26.0.16,29,Video,Chatham County Schools,K12 - Public
152.26.57.0,24,LAN,Cherokee County School District,K12 - Public
152.26.174.208,29,LAN,Children's Village Academy Charter,K12 - Charter School
152.26.175.144,29,LAN,CIS Academy,K12 - Charter School
152.26.61.0,24,LAN,Clay County Schools,K12 - Public
152.26.241.16,28,Video,Clay County Schools,K12 - Public
152.26.242.32,28,Video,Cleveland Community College,Community College
152.27.13.0,25,LAN,Cleveland Community College,Community College
152.27.13.0,24,LAN,Cleveland Community College,Community College
152.27.13.128,25,LAN,Cleveland Community College,Community College
152.26.13.0,25,LAN,Cleveland County Schools,K12 - Public
152.26.55.0,24,LAN,Clinton City Schools,K12 - Public
152.26.241.96,28,Video,Clinton City Schools,K12 - Public
152.26.173.224,29,LAN,Clover Garden Charter School,K12 - Charter School
152.27.35.0,27,LAN,Coastal Carolina Community College,Community College
152.27.34.0,24,LAN,Coastal Carolina Community College,Community College
152.27.64.32,29,Video,Coastal Carolina Community College,Community College
152.27.35.32,27,LAN,Coastal Carolina Community College,Community College
152.27.35.64,30,LAN,Coastal Carolina Community College,Community College
152.26.172.192,28,LAN,Coastal Preparatory Academy,K12 - Charter School
152.26.243.0,30,VoIP,Coastal Preparatory Academy,K12 - Charter School
198.85.73.0,24,LAN,College of The Albemarle,Community College
152.27.64.48,29,Video,College of The Albemarle,Community College
152.26.175.160,29,LAN,College Preparatory & Leadership Academy,K12 - Charter School
152.26.237.224,29,LAN,Columbus Charter School,K12 - Charter School
152.26.43.0,24,LAN,Columbus County Schools,K12 - Public
152.26.235.80,29,LAN,Commonwealth High School,K12 - Charter School
152.26.171.192,29,LAN,Community Public Charter,K12 - Charter School
198.86.53.48,28,LAN,Community School of Davidson,K12 - Charter School
152.26.238.104,29,LAN,Cornerstone Academy Charter School,K12 - Charter School
152.26.236.64,28,LAN,Corvian Community School,K12 - Charter School
152.27.38.0,24,LAN,Craven Community College,Community College
152.26.85.0,24,LAN,Craven County Schools,K12 - Public
204.85.9.0,25,LAN,Craven County Schools,K12 - Public
152.26.59.0,24,LAN,Cumberland County Schools,K12 - Public
152.26.9.64,26,LAN,Currituck County Schools,K12 - Public
152.26.240.112,28,Video,Currituck County Schools,K12 - Public
152.46.25.32,27,Customer Allocation,Dare County Schools,K12 - Public
152.26.20.0,26,LAN,Dare County Schools,K12 - Public
152.26.172.32,28,LAN,Davidson Charter Academy,K12 - Charter School
152.26.76.0,25,LAN,Davidson County Schools,K12 - Public
198.86.72.0,24,LAN,Davidson-Davie Community College,Community College
152.27.64.96,29,Video,Davidson-Davie Community College,Community College
152.27.31.64,29,LAN,Davidson-Davie Community College,Community College
152.27.31.32,28,Video,Davidson-Davie Community College,Community College
152.26.21.128,25,LAN,Davie County Schools,K12 - Public
152.26.233.192,29,LAN,DC Virgo Preparatory Academy,K12 - Charter School
152.26.173.32,29,LAN,Dillard Academy Charter,K12 - Charter School
152.26.171.32,28,LAN,Discovery Charter School,K12 - Charter School
152.26.234.16,29,LAN,Douglass Academy,K12 - Charter School
152.26.28.192,26,LAN,Duplin County Schools,K12 - Public
152.46.42.0,24,Customer Allocation,Durham Public Schools,K12 - Public
206.211.64.0,19,Non-NCREN,Durham Public Schools,K12 - Public
204.84.218.32,28,LAN,Durham Technical Community College,Community College
204.84.218.16,28,LAN,Durham Technical Community College,Community College
204.84.216.0,23,LAN,Durham Technical Community College,Community College
204.84.218.0,24,LAN,Durham Technical Community College,Community College
152.27.23.192,30,LAN,Durham Technical Community College,Community College
204.84.219.0,29,Video,Durham Technical Community College,Community College
204.84.219.8,29,Video,Durham Technical Community College,Community College
192.137.210.0,24,Non-NCREN,Durham Technical Community College,Community College
152.26.172.64,29,LAN,East Voyager Academy,K12 - Charter School
152.26.232.176,29,LAN,East Wake Academy,K12 - Charter School
152.26.238.128,26,LAN,Eastern North Carolina School for the Deaf,K12 - Charter School
152.26.235.64,29,LAN,Eastside STREAM Academy,K12 - Charter School
152.26.0.32,27,LAN,Edenton-Chowan Schools,K12 - Public
152.26.7.192,28,LAN,Edenton-Chowan Schools,K12 - Public
152.27.41.0,26,LAN,Edgecombe Community College,Community College
198.85.214.0,24,LAN,Edgecombe Community College,Community College
152.27.41.0,27,LAN,Edgecombe Community College,Community College
152.27.41.32,27,LAN,Edgecombe Community College,Community College
152.27.64.112,29,Video,Edgecombe Community College,Community College
152.46.37.0,27,Customer Allocation,Edgecombe Community College,Community College
152.46.30.8,29,Customer Allocation,Edgecombe County Public Schools,K12 - Public
152.26.6.128,27,LAN,Edgecombe County Public Schools,K12 - Public
152.26.0.96,28,LAN,Edgecombe County Public Schools,K12 - Public
152.46.30.24,29,Customer Allocation,Edgecombe County Public Schools,K12 - Public
152.26.33.0,24,LAN,Elizabeth City - Pasquotank Schools,K12 - Public
152.26.241.192,28,Video,Elizabeth City - Pasquotank Schools,K12 - Public
152.26.6.0,25,LAN,Elkin City Schools,K12 - Public
152.46.25.96,27,Customer Allocation,Elkin City Schools,K12 - Public
152.26.173.160,29,LAN,Emereau: Bladen Charter School,K12 - Charter School
152.26.233.96,28,LAN,Endeavor Charter School,K12 - Charter School
152.26.236.144,28,LAN,Eno River Academy,K12 - Charter School
152.26.232.96,28,LAN,Envision Science Academy,K12 - Charter School
152.26.239.112,29,LAN,Evergreen Community Charter School,K12 - Charter School
152.26.232.240,29,LAN,Excelsior Classical Academy,K12 - Charter School
152.26.238.224,28,LAN,Exploris Middle School Charter,K12 - Charter School
152.26.169.32,29,LAN,Faith Academy,K12 - Charter School
152.26.234.224,29,LAN,Falls Lake Academy Charter,K12 - Charter School
198.86.14.0,23,LAN,Fayetteville Technical Community College,Community College
152.26.242.96,28,Video,Fayetteville Technical Community College,Community College
198.85.208.0,22,LAN,Fayetteville Technical Community College,Community College
152.26.174.240,29,LAN,FernLeaf Community Charter School,K12 - Charter School
152.27.73.0,29,LAN,Forsyth Technical Community College,Community College
198.86.112.0,21,LAN,Forsyth Technical Community College,Community College
152.27.23.224,28,LAN,Forsyth Technical Community College,Community College
152.26.239.104,29,LAN,Francine Delany New School for Children,K12 - Charter School
152.26.175.208,29,LAN,Franklin Academy Charter,K12 - Charter School
152.26.172.160,29,LAN,Franklin Academy Charter,K12 - Charter School
152.26.172.176,29,LAN,Franklin Academy Charter,K12 - Charter School
152.26.6.192,26,LAN,Franklin County Schools,K12 - Public
152.26.232.48,29,LAN,Franklin School of Innovation,K12 - Charter School
152.26.242.80,28,Video,Gaston College,Community College
152.27.23.32,27,LAN,Gaston College,Community College
152.27.23.0,27,LAN,Gaston College,Community College
152.27.22.0,24,LAN,Gaston College,Community College
152.26.62.0,24,LAN,Gaston County Schools,K12 - Public
198.86.17.160,28,LAN,Gates County Public Schools,K12 - Public
152.26.28.32,29,LAN,Gates County Public Schools,K12 - Public
152.26.174.224,28,LAN,Girls Leadership Academy of Wilmington,K12 - Charter School
152.26.237.160,28,LAN,Global Scholars Academy,K12 - Charter School
152.26.238.80,28,LAN,Governor Morehead School,K12 - Charter School
152.26.60.0,24,LAN,Graham County Schools,K12 - Public
152.26.28.64,26,LAN,Granville County Schools,K12 - Public
152.26.175.112,29,LAN,Gray Stone Day School,K12 - Charter School
152.26.0.64,27,LAN,Greene County Schools,K12 - Public
152.26.0.128,27,LAN,Greene County Schools,K12 - Public
152.26.24.0,22,LAN,Guilford County Schools,K12 - Public
152.26.169.96,28,LAN,Guilford Preparatory Academy,K12 - Charter School
152.26.234.48,28,LAN,Guilford Preparatory Academy,K12 - Charter School
198.86.104.0,21,LAN,Guilford Technical Community College,Community College
152.27.64.128,29,Video,Guilford Technical Community College,Community College
2610:28:4002::,48,LAN,Guilford Technical Community College,Community College
152.27.42.0,24,LAN,Halifax Community College,Community College
152.27.64.144,29,Video,Halifax Community College,Community College
152.26.241.80,28,Video,Halifax County Schools,K12 - Public
152.26.21.0,25,LAN,Halifax County Schools,K12 - Public
152.26.233.208,29,LAN,Haliwa Saponi Tribal,K12 - Charter School
152.26.40.0,24,LAN,Harnett County Schools,K12 - Public
152.26.239.192,28,LAN,Hawbridge School,K12 - Charter School
152.27.70.0,23,LAN,Haywood Community College,Community College
152.27.68.64,29,Video,Haywood Community College,Community College
152.26.10.128,27,LAN,Haywood County Schools,K12 - Public
152.26.28.0,27,LAN,Haywood County Schools,K12 - Public
152.26.239.80,29,LAN,Healthy Start Academy Charter,K12 - Charter School
152.26.232.224,28,LAN,Henderson Collegiate Charter,K12 - Charter School
152.26.53.0,24,LAN,Henderson County Public Schools,K12 - Public
198.86.17.192,27,LAN,Hertford County Public Schools,K12 - Public
152.26.66.128,26,LAN,Hickory Public Schools,K12 - Public
152.26.171.96,29,LAN,Hobgood Charter School,K12 - Charter School
206.107.110.0,24,Non-NCREN,Hoke County Schools,K12 - Public
152.26.50.0,24,LAN,Hoke County Schools,K12 - Public
152.26.37.0,24,LAN,Hyde County Schools,K12 - Public
152.26.241.64,28,Video,Hyde County Schools,K12 - Public
152.26.173.64,28,LAN,INVEST Collegiate - Imagine,K12 - Charter School
152.26.233.80,29,LAN,INVEST Collegiate - Transform,K12 - Charter School
152.26.79.0,24,LAN,Iredell-Statesville Schools,K12 - Public
207.203.140.0,24,Non-NCREN,Iredell-Statesville Schools,K12 - Public
152.26.234.96,29,LAN,Island Montessori School,K12 - Charter School
204.84.224.0,23,LAN,Isothermal Community College,Community College
204.84.224.0,24,LAN,Isothermal Community College,Community College
152.27.64.160,27,Video,Isothermal Community College,Community College
204.84.225.0,24,LAN,Isothermal Community College,Community College
152.26.14.0,26,LAN,Jackson County Public Schools,K12 - Public
152.27.44.0,24,LAN,James Sprunt Community College,Community College
152.27.66.112,29,Video,James Sprunt Community College,Community College
152.27.49.192,26,LAN,Johnston Community College,Community College
152.27.48.0,24,LAN,Johnston Community College,Community College
152.27.64.192,29,Video,Johnston Community College,Community College
152.27.64.208,29,Video,Johnston Community College,Community College
152.26.73.64,27,LAN,Johnston County Schools,K12 - Public
152.26.84.0,25,LAN,Johnston County Schools,K12 - Public
206.107.106.88,29,Non-NCREN,Jones County Public Schools,K12 - Public
152.26.65.0,24,LAN,Jones County Public Schools,K12 - Public
152.26.13.128,26,LAN,Kannapolis City Schools,K12 - Public
